Class,No of Images,Data Collected By,Data Cleaned By,Dataset Drive link, Refinement Link,Refinement By,Data Collected Date,Refinemet Date,Remark
Apple___Apple_scab,,,,,,,,,
Apple___Black_rot,,,,,,,,,
Apple___Cedar_apple_rust,,,,,,,,,
Apple___healthy,,,,,,,,,
Blueberry___healthy,,,,,,,,,
Cherry___Powdery_milde,,,,,,,,,
Cherry___healthy,,,,,,,,,
Corn___Cercospora_leaf_spot Gray_leaf_spot,16,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/14tGtEmsy9FpHjvunkJKBko-xKcwo24d1?usp=drive_link ,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,11-Jun,
Corn___Common_rust,,,,,,,,,
Corn___Northern_Leaf_Blight,30,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/14tGtEmsy9FpHjvunkJKBko-xKcwo24d1?usp=drive_link ,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,11-Jun,
Corn___healthy,100,Bikram Chapagain,Sandarva Lamichhane,https://drive.google.com/drive/folders/10r6s2oQm94PgyZnRYrdYp83KJPbbbEly?usp=sharing ,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,11-Jun,
Grape___Black_rot,75,Anisha Gautam,Anisha Gautam,https://drive.google.com/drive/folders/1tIQdbEJ7mpez-6fYvQqW6qz2-D3YdCGy?usp=sharing,,,10-Jun,,
Grape__Esca(Black_Measles,,,,,,,,,
Grape__Leaf_blight(Isariopsis_Leaf_Spot),,,,,,,,,
Grape___healthy,112,Anisha Gautam,Anisha Gautam,https://drive.google.com/drive/folders/1tIQdbEJ7mpez-6fYvQqW6qz2-D3YdCGy?usp=sharing,,,,,
Orange__Haunglongbing(Citrus_greening),128,Anisha Gautam,Anisha Gautam,https://drive.google.com/drive/folders/1tIQdbEJ7mpez-6fYvQqW6qz2-D3YdCGy?usp=sharing,,,,,
Peach___Bacterial_spot,,,,,,,,,
Peach___healthy,,,,,,,,,
"Pepper,bell__Bacterial_spot",,,,,,,,,
"Pepper,bell__healthy",,,,,,,,,
Potato___Early_blight,,,,,,,,,
Potato___Late_blight,,,,,,,,,
Potato___healthy,100,Bikram Chapagain,Sandarva Lamichhane,https://drive.google.com/drive/folders/10r6s2oQm94PgyZnRYrdYp83KJPbbbEly?usp=sharing ,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,12-Jun,
Raspberry___healthy,,,,,,,,,
Soybean___healthy,,,,,,,,,
Squash___Powdery_mildew,,,,,,,,,
Strawberry___Leaf_scorch,,,,,,,,,
Strawberry___healthy,,,,,,,,,
Tomato___Bacterial_spot,16,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking,Bikram Chapagain,4-Jun,12-Jun,
Tomato___Early_blight,10,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,11-Jun,
Tomato___Late_blight,18,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,,,
Tomato___Leaf_Mold,,,,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,12-Jun,
Tomato___Septoria_leaf_spot,48,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,12-Jun,
Tomato___Spider_mites Two-spotted_spider_mite,,,,,,,,,
Tomato___Target_Spot,,,,,,,,,
Tomato___Tomato_Yellow_Leaf_Curl_Virus,15,Bikram Chapagain,Bikram Chapagain,https://drive.google.com/drive/folders/1DF0S5w_85pgPCX4upkjzW6SGt3WEZci1?usp=drive_link,https://www.kaggle.com/code/bikramchapagain/modelchecking  ,Bikram Chapagain,4-Jun,12-Jun,
Tomato___Tomato_mosaic_virus,,,,,,,,,
Tomato___healthy,51,Anisha Gautam,Anisha Gautam,https://drive.google.com/drive/folders/1tIQdbEJ7mpez-6fYvQqW6qz2-D3YdCGy?usp=sharing,,,10-Jun,,
