epoch,train_loss,train_acc,val_loss,val_acc,lr,time_sec
1,2.0317,0.7046,14.8812,0.7393,9.97534852915723e-06,484.91
2,1.6085,0.8485,10.3833,0.7757,9.901664203302126e-06,485.05
3,1.4971,0.8861,2.377,0.8442,9.779754323328192e-06,485.64
4,1.4375,0.9092,2.1391,0.8661,9.610954559391703e-06,485.01
5,1.3979,0.9216,2.0724,0.894,9.397114317029975e-06,485.45
6,1.3656,0.934,2.0044,0.9142,9.140576474687265e-06,486.85
7,1.3459,0.9387,1.9724,0.9262,8.844151714648276e-06,486.14
8,1.3215,0.9466,1.9395,0.9359,8.511087728614863e-06,485.03
9,1.3069,0.9493,1.9197,0.9405,8.14503363531613e-06,486.1
10,1.2986,0.9533,1.8818,0.9557,7.75e-06,485.03
11,1.2789,0.9595,1.8792,0.9562,7.3303148938411025e-06,485.33
12,1.2699,0.9607,1.875,0.9546,6.8905764746872645e-06,486.27
13,1.2611,0.9619,1.8467,0.9634,6.4356026086799176e-06,485.39
14,1.2541,0.9629,1.8142,0.9742,5.970378084704442e-06,485.58
15,1.2434,0.9667,1.8417,0.9626,5.5000000000000016e-06,485.36
16,1.2362,0.9689,1.8094,0.9731,5.02962191529556e-06,486.21
17,1.2337,0.9676,1.7974,0.9767,4.564397391320083e-06,487.01
18,1.2245,0.9706,1.7971,0.9752,4.109423525312738e-06,486.12
19,1.2232,0.9711,1.7862,0.9783,3.6696851061589006e-06,486.22
20,1.219,0.9709,1.7821,0.9785,3.250000000000002e-06,485.9
21,1.2148,0.9716,1.7772,0.9808,2.8549663646838725e-06,486.01
22,1.2109,0.9728,1.7703,0.9823,2.48891227138514e-06,486.08
23,1.2054,0.9725,1.7755,0.9809,2.1558482853517274e-06,485.11
24,1.2028,0.9741,1.7685,0.9819,1.8594235253127373e-06,485.46
25,1.2019,0.9743,1.7625,0.9837,1.602885682970026e-06,485.31
26,1.1985,0.9753,1.7702,0.9821,1.3890454406082957e-06,485.92
27,1.199,0.9747,1.7674,0.9825,1.2202456766718092e-06,485.5
28,1.1965,0.9756,1.7629,0.9834,1.0983357966978744e-06,486.76
29,1.1983,0.9756,1.7665,0.9829,1.0246514708427697e-06,485.47
30,1.1927,0.9761,1.7567,0.9851,1e-06,486.9
